,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
8915,Mar,3,Monday,VW,Urban,Thursday,Mar,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8916,14,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Liability
8916,Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,4,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8917,11,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8918,Mar,2,Saturday,Pontiac,Urban,Friday,Mar,3,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8919,3,400,3,more than 30,more than 30,none,6 years,No,No,External,none,1 year,1 vehicle,1995,Collision
8919,Nov,1,Thursday,Pontiac,Urban,Thursday,Nov,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8920,10,400,4,more than 30,more than 30,2 to 4,6 years,No,No,Internal,3 to 5,no change,1 vehicle,1995,Liability
8920,Nov,1,Thursday,Pontiac,Rural,Thursday,Nov,1,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8921,4,400,4,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8921,Jul,2,Friday,Toyota,Urban,Friday,Jul,2,Male,Single,38,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8922,16,400,4,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
8922,Jul,1,Thursday,Chevrolet,Urban,Friday,Jul,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8923,16,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8923,Dec,5,Thursday,Ford,Urban,Monday,Jan,1,Male,Married,32,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,8924,7,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Collision
8924,Jul,1,Wednesday,Pontiac,Urban,Friday,Jul,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8925,2,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8925,Jun,3,Tuesday,Pontiac,Urban,Thursday,Jul,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8926,8,500,1,more than 30,more than 30,none,more than 7,No,No,External,none,2 to 3 years,2 vehicles,1995,Liability
8926,May,2,Tuesday,Pontiac,Urban,Wednesday,May,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8927,4,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8927,May,1,Monday,Honda,Urban,Tuesday,May,1,Female,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8928,1,400,3,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1995,All Perils
8928,May,1,Tuesday,Ford,Urban,Monday,May,2,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8929,10,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8929,Oct,5,Saturday,Mercury,Urban,Thursday,Nov,2,Male,Married,63,Policy Holder,Utility - All Perils,Utility,30000 to 39000,0,8930,6,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
8930,Oct,4,Friday,Honda,Urban,Monday,Oct,4,Male,Married,32,Policy Holder,Sport - Collision,Sport,more than 69000,0,8931,1,400,3,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8931,Oct,3,Wednesday,Mazda,Urban,Wednesday,Oct,3,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8932,5,400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8932,Aug,3,Tuesday,Mazda,Urban,Wednesday,Aug,3,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8933,3,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
8933,Aug,3,Monday,Mazda,Urban,Thursday,Sep,4,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8934,7,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8934,Jun,3,Tuesday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8935,5,400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,All Perils
8935,Jun,3,Tuesday,Mazda,Urban,Tuesday,Jun,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8936,13,400,1,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1995,Collision
8936,May,4,Thursday,Honda,Urban,Monday,May,5,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8937,10,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1995,All Perils
8937,May,2,Friday,Accura,Urban,Thursday,May,4,Male,Married,47,Policy Holder,Utility - All Perils,Utility,more than 69000,0,8938,11,400,4,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
8938,May,2,Monday,Toyota,Urban,Tuesday,May,2,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8939,11,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,3 to 4,1995,Collision
8939,May,2,Tuesday,Pontiac,Urban,Wednesday,Jun,1,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8940,13,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8940,Apr,1,Wednesday,Honda,Urban,Thursday,Apr,2,Female,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8941,7,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8941,Apr,1,Tuesday,Chevrolet,Urban,Wednesday,Apr,1,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8942,5,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
8942,Mar,5,Monday,Chevrolet,Urban,Tuesday,Apr,1,Male,Married,31,Policy Holder,Utility - All Perils,Utility,more than 69000,0,8943,9,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
8943,Jul,3,Saturday,Mazda,Urban,Monday,Jul,3,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8944,15,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
8944,Jul,3,Friday,Pontiac,Rural,Monday,Jul,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8945,2,400,4,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1995,Collision
8945,Mar,2,Friday,Pontiac,Rural,Friday,Mar,2,Male,Married,47,Third Party,Sedan - All Perils,Sedan,less than 20000,0,8946,11,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1995,All Perils
8946,Mar,2,Sunday,Pontiac,Urban,Monday,Apr,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8947,11,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Collision
8947,Mar,2,Wednesday,VW,Urban,Thursday,Mar,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8948,9,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8948,Feb,4,Saturday,Mazda,Rural,Tuesday,Mar,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8949,9,400,1,more than 30,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,1 vehicle,1995,Liability
8949,Feb,4,Saturday,Honda,Urban,Wednesday,Mar,1,Male,Married,36,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8950,1,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
8950,Jul,1,Monday,Toyota,Urban,Thursday,Jun,5,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8951,4,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
8951,Oct,4,Friday,Pontiac,Urban,Thursday,Nov,4,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8952,7,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8952,Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8953,11,400,1,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
8953,Feb,1,Friday,Mazda,Urban,Tuesday,Feb,2,Male,Married,78,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8954,4,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1995,Liability
8954,Feb,1,Sunday,Mazda,Rural,Thursday,Feb,2,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8955,8,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8955,Dec,5,Friday,Mazda,Rural,Monday,Jan,1,Male,Married,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8956,5,400,3,more than 30,more than 30,more than 4,7 years,Yes,No,External,3 to 5,no change,1 vehicle,1995,All Perils
8956,Feb,2,Saturday,Pontiac,Urban,Tuesday,Feb,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8957,7,400,4,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8957,Feb,3,Monday,Pontiac,Urban,Tuesday,Mar,2,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8958,14,400,2,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
8958,Feb,3,Monday,Chevrolet,Urban,Wednesday,Mar,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8959,11,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8960,Feb,4,Thursday,Accura,Urban,Thursday,Feb,4,Male,Married,47,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8961,11,400,4,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8961,Feb,5,Monday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8962,8,400,1,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
8962,Mar,1,Friday,Toyota,Urban,Tuesday,Mar,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8963,14,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
8963,Dec,5,Friday,Honda,Urban,Tuesday,Jan,1,Male,Married,62,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,8964,10,400,1,more than 30,more than 30,none,4 years,No,No,External,none,no change,1 vehicle,1995,All Perils
8964,Mar,1,Saturday,Pontiac,Rural,Friday,Mar,3,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8965,4,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8966,Apr,1,Saturday,Chevrolet,Urban,Tuesday,Apr,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8967,1,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8967,Dec,5,Friday,Mazda,Rural,Wednesday,Jan,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8968,4,400,4,more than 30,more than 30,1,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision
8968,Apr,2,Tuesday,Pontiac,Rural,Tuesday,Apr,3,Female,Single,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8969,6,400,4,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1995,Collision
8969,Apr,3,Thursday,Ford,Urban,Tuesday,Apr,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,8970,10,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1995,All Perils
8970,Jun,2,Tuesday,Chevrolet,Urban,Tuesday,Jun,2,Male,Married,64,Third Party,Sedan - Liability,Sport,30000 to 39000,0,8971,9,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1995,Liability
8971,Jun,1,Sunday,Toyota,Urban,Wednesday,Jun,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8972,2,400,3,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1995,All Perils
8972,Jun,2,Thursday,Toyota,Urban,Friday,Jun,2,Female,Married,31,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8973,12,400,2,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8973,Jul,2,Tuesday,Toyota,Rural,Tuesday,Jul,3,Male,Single,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8974,2,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8974,Jul,2,Sunday,Mazda,Urban,Monday,Jul,2,Male,Single,30,Third Party,Sport - Collision,Sport,more than 69000,0,8975,16,400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
8975,Sep,4,Saturday,Chevrolet,Urban,Wednesday,Sep,5,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8976,10,400,1,more than 30,more than 30,more than 4,5 years,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
8976,Jan,5,Monday,Chevrolet,Urban,Wednesday,Feb,1,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8977,6,500,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability
8977,Feb,1,Thursday,Mazda,Urban,Thursday,Feb,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8978,1,400,3,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8978,Dec,5,Friday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8979,14,400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1995,All Perils
8979,Feb,3,Wednesday,Honda,Urban,Monday,Feb,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8980,6,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,3 to 4,1995,Collision
8980,Dec,5,Friday,Honda,Urban,Thursday,Jan,1,Male,Married,63,Third Party,Sport - Collision,Sport,more than 69000,0,8981,11,400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
8981,Feb,4,Saturday,Chevrolet,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8982,14,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Liability
8982,Feb,4,Sunday,Toyota,Rural,Monday,Mar,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8983,5,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
8983,Feb,5,Tuesday,Pontiac,Urban,Tuesday,Feb,5,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8984,11,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
8984,Mar,1,Wednesday,Chevrolet,Urban,Friday,Mar,1,Male,Married,36,Policy Holder,Utility - Collision,Utility,more than 69000,0,8985,10,400,4,more than 30,more than 30,more than 4,5 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
8985,Mar,1,Friday,Toyota,Urban,Friday,Mar,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8986,14,400,2,more than 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1995,Liability
8986,Mar,1,Saturday,Mazda,Urban,Monday,Mar,1,Female,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8987,1,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
8987,Mar,2,Sunday,Toyota,Urban,Tuesday,Mar,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8988,1,400,4,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8988,Mar,3,Sunday,Mazda,Urban,Wednesday,Mar,4,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8989,16,400,4,more than 30,more than 30,none,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils
8989,Apr,2,Saturday,Mazda,Urban,Monday,Apr,2,Male,Married,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8990,8,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
8990,May,3,Sunday,Honda,Rural,Monday,May,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8991,10,700,2,more than 30,more than 30,2 to 4,more than 7,Yes,No,External,none,no change,1 vehicle,1995,Liability
8991,Jun,3,Thursday,Toyota,Urban,Saturday,Jun,3,Female,Married,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8992,7,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
8992,Jun,4,Friday,Ford,Rural,Monday,Jun,4,Male,Single,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8993,10,400,2,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
8993,Jun,4,Monday,Toyota,Urban,Monday,Jul,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,more than 69000,0,8994,9,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
8994,Jun,4,Monday,Mazda,Urban,Thursday,Jul,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8995,2,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
8995,Jun,5,Thursday,Chevrolet,Urban,Tuesday,Jul,1,Female,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8996,5,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8996,Jul,1,Saturday,Honda,Urban,Monday,Jul,2,Male,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8997,5,400,4,more than 30,more than 30,more than 4,6 years,No,No,Internal,none,no change,1 vehicle,1995,Liability
8997,Jul,1,Saturday,Honda,Urban,Monday,Jul,1,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,8998,12,400,3,more than 30,more than 30,more than 4,4 years,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
8998,Oct,5,Tuesday,Pontiac,Urban,Friday,Nov,1,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8999,13,400,4,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
8999,Nov,3,Monday,Mazda,Urban,Monday,Nov,3,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9000,1,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1995,Collision
9000,Oct,5,Tuesday,Toyota,Rural,Friday,Nov,1,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9001,15,400,4,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1995,Collision
9001,Oct,5,Sunday,Mazda,Urban,Wednesday,Nov,3,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9002,12,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
9002,Oct,4,Friday,Toyota,Urban,Monday,Nov,1,Male,Single,28,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9003,8,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1995,Liability
9003,Jul,5,Monday,Chevrolet,Urban,Tuesday,Aug,1,Female,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9004,15,400,2,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1995,Liability
9004,Jul,3,Monday,Mazda,Urban,Tuesday,Jul,3,Male,Married,48,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9005,9,400,1,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
9005,Jul,3,Monday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9006,10,400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
9006,Dec,5,Saturday,Pontiac,Rural,Wednesday,Jan,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,9007,12,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
9007,Jul,1,Wednesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9008,13,400,1,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1995,Collision
9008,Dec,5,Saturday,Honda,Urban,Tuesday,Jan,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9009,16,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
9009,Jun,4,Saturday,Chevrolet,Urban,Tuesday,Jul,3,Male,Single,55,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9010,16,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,1 year,2 vehicles,1995,All Perils
9010,Jun,4,Friday,Mazda,Urban,Friday,Jun,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9011,7,400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
9011,Jun,3,Tuesday,Pontiac,Rural,Tuesday,Jun,3,Male,Married,38,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9012,16,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
9012,Jun,4,Wednesday,Pontiac,Urban,Thursday,Jun,4,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9013,5,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,Liability
9013,Jun,3,Sunday,Honda,Urban,Monday,Jun,3,Male,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9014,8,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
9014,Jun,1,Monday,Toyota,Urban,Wednesday,Jun,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9015,15,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Collision
9015,May,4,Saturday,Pontiac,Urban,Monday,Jun,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9016,4,400,2,more than 30,more than 30,1,5 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
9016,May,3,Wednesday,Honda,Urban,Friday,Jul,3,Female,Single,48,Policy Holder,Sport - Collision,Sport,more than 69000,0,9017,10,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1995,Collision
9017,May,2,Friday,Toyota,Urban,Wednesday,May,3,Male,Married,42,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9018,15,400,2,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,All Perils
9018,May,2,Sunday,Mazda,Urban,Monday,May,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,9019,13,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
9019,May,1,Friday,Mazda,Urban,Monday,May,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9020,4,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1995,Collision
9020,Apr,1,Sunday,Toyota,Urban,Monday,Apr,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9021,13,400,3,more than 30,more than 30,1,7 years,No,No,External,none,no change,3 to 4,1995,Collision
9021,Apr,1,Monday,Mazda,Urban,Thursday,Apr,1,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9022,9,400,3,more than 30,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
9022,Mar,4,Wednesday,Toyota,Urban,Thursday,Mar,4,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9023,11,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1995,Collision
9023,Mar,4,Tuesday,Toyota,Urban,Wednesday,Mar,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9024,15,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1995,Liability
9024,Mar,3,Sunday,Toyota,Urban,Monday,Mar,3,Male,Married,56,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9025,5,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1995,Liability
9025,Mar,3,Friday,Mazda,Urban,Wednesday,Mar,5,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9026,15,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
9026,Mar,3,Tuesday,Pontiac,Urban,Wednesday,Mar,3,Male,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9027,10,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1995,Liability
